CA,35.34399793,-119.0408926
WI,42.5747,-88.3946
WI,44.54856203,-89.52476203
CO,39.9822,-105.5501
VA,38.74820708,-77.5305384
MD,39.437,-76.7818
OH,41.3775,-82.5349
MI,42.28027534,-83.73625456
VA,37.365,-79.3099
TX,29.7774937,-95.45122045
CO,38.8614783,-104.7803978
CA,37.8597,-119.768
TN,35.86454843,-86.4034119
VA,36.62852387,-79.49231484
AZ,33.41403567,-111.9209196
NC,35.8826,-80.082
OH,39.827,-84.0187
AZ,35.08407849,-114.5628231
NM,35.10348122,-106.6124752
NY,42.7442,-78.7442
OH,41.3568,-82.262
PA,40.4701,-79.2036
SC,34.91997275,-81.92884278
PA,40.3578,-76.1296
FL,29.3992,-82.4455
PA,40.18918943,-77.20376784
PA,39.872,-79.9982
AK,58.53633908,-134.7134621
MO,37.6989,-92.662
CO,38.8614783,-104.7803978
LA,29.59788519,-90.73580952
CA,34.15369286,-117.99215
NM,35.2393,-106.6255
NM,35.10348122,-106.6124752
ME,44.7135,-68.7799
AZ,33.4037283,-112.3741774
FL,26.95863265,-82.3251
AB,53.2668,-113.552
CA,33.398525,-117.2949567
NY,40.74430707,-73.98772448
RI,41.48576531,-71.30778163
UT,37.13106124,-113.5887632
FL,28.23565,-81.66055328
SC,34.49168812,-82.64779851
BC,49.18105398,-123.9967366
ME,43.7977,-70.2658
UT,40.4774,-112.0082
OR,44.03954498,-123.1251574
MI,42.80983217,-86.10311565
TN,36.4713,-81.8144
NJ,40.832,-75.0336
MD,38.7395,-76.9118
CA,35.34399793,-119.0408926
AR,35.1388871,-90.15471452
TX,32.83516808,-96.80811786
CA,38.1699,-121.9367
IN,40.4855,-85.9471
MA,42.26863926,-71.80715499
WA,47.68357629,-117.3863311
UT,39.4113,-111.0056
OH,39.42305109,-84.55280973
AZ,34.65223077,-112.2990077
NC,35.7519,-79.2248
CA,34.09060591,-117.8872734
FL,26.13691468,-80.21914076
CO,39.74054676,-105.2699921
OK,35.47186178,-97.5263035
NM,36.7632,-108.8181
FL,27.88918125,-81.81470625
MO,37.19880654,-93.30922289
OK,35.47186178,-97.5263035
CA,34.0339,-117.3136
PA,40.23791462,-76.92277846
MI,42.36885467,-83.11026847
UT,40.6677,-111.9388
AK,61.18196014,-149.8425268
AK,61.18196014,-149.8425268
MO,37.8334,-92.1249
NJ,39.9093,-74.1549
CA,33.93964339,-117.4001158
GA,33.80870552,-84.38988232
CA,34.05070709,-118.2799351
TX,30.30846944,-97.76011171
CA,37.33884202,-121.8897057
MI,43.2712,-83.8079
MO,38.7812,-92.2542
NV,39.50650741,-119.8174511
NV,39.50650741,-119.8174511
WA,47.60904639,-122.3260283
TX,33.54170374,-101.903819
CO,39.68000199,-104.7929671
WI,43.06651417,-89.38736175
MI,42.54766358,-83.77078902
CA,32.6798,-116.314
MI,42.9134,-85.7053
OR,45.216,-122.6667
CA,33.80562923,-117.8263325
FL,27.90161729,-82.77851383
NM,36.1294,-106.156
CA,38.2433,-122.4602
TX,29.8973,-97.6783
